Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,class
11044,420.2189941,165.992218,87.1315155,0.851155698,11328,0.612942636,1
11339,425.506012,177.0471344,82.54740906,0.884655416,11533,0.592053056,1
11717,430.9179993,174.6403351,86.0923233,0.870046735,11948,0.65148735,1
14788,480.9620056,199.0625458,95.53791809,0.877301753,15044,0.65750742,0
13681,485.4129944,205.0064392,86.4876709,0.906652689,14146,0.559893608,0
11553,432.4779968,177.9644012,84.06337738,0.881405354,11845,0.581546366,1
14747,501.7659912,213.7421875,88.58164215,0.910080194,15070,0.764410138,0
13272,474.927002,195.7785492,87.1651535,0.895419657,13597,0.586063743,0
11549,440.2479858,179.1168823,84.49580383,0.881740093,11961,0.595401347,0
13147,468.9200134,199.2277527,84.48080444,0.905642807,13431,0.68473959,0
11422,419.9070129,168.0318909,88.29070282,0.850830555,11687,0.618073583,1
14064,486.8900146,204.1630707,88.52142334,0.901114106,14388,0.648379505,0
13683,481.5710144,206.9267731,84.89906311,0.911957145,13922,0.762199223,0
12267,438.2640076,175.5909729,90.18747711,0.858016253,12519,0.624084234,1
13918,489.0400085,207.8817444,86.49022675,0.909339488,14263,0.718756437,0
11049,412.8139954,169.6197357,83.3963623,0.870783508,11244,0.79238385,1
12714,461.8900146,196.560318,83.11239624,0.906207144,12900,0.641408563,0
11469,429.8580017,175.5099487,85.11319733,0.874543011,11709,0.78922379,1
11933,430.8670044,178.9629974,85.46997833,0.878585756,12118,0.798087239,1
13170,472.1019897,200.1954346,84.8755188,0.905679405,13383,0.544935465,0
11433,426.9249878,175.868515,84.19808197,0.877948105,11719,0.607524335,1
12131,444.9259949,183.838089,85.05927277,0.886522353,12419,0.784162879,1
14274,499.0880127,214.4025269,85.24676514,0.917558193,14559,0.656728804,0
11860,427.026001,174.9904327,87.09915161,0.867328227,12064,0.612287045,1
13574,488.4970093,210.6863098,83.74446869,0.917609036,13856,0.551676512,0
9360,399.3919983,171.0101776,70.23106384,0.911777914,9533,0.692307711,1
12699,458.0130005,192.5944977,85.20385742,0.896817684,12965,0.590651155,0
14369,491.0440063,207.9473724,89.12214661,0.903503716,14679,0.603993297,0
12150,435.9039917,175.4832153,89.56684113,0.859936416,12460,0.710526288,1
11146,425.9599915,179.801178,79.56255341,0.89676702,11302,0.581065595,1
12121,439.8420105,183.4670258,84.7644043,0.886872411,12389,0.648736894,1
13652,486.6279907,210.3452301,83.2991333,0.918245554,13950,0.579801261,0
10910,445.2739868,190.2480469,73.87875366,0.921520948,11229,0.627877533,1
12780,437.0289917,175.1168213,93.6605835,0.844949365,12940,0.706311464,1
11410,436.368988,180.802597,81.64021301,0.892249167,11710,0.617825449,1
16019,509.0130005,214.7909393,96.12420654,0.894271672,16248,0.657594442,0
16412,515.1149902,208.6945496,101.9417572,0.87257874,16857,0.773785949,0
13853,471.6409912,195.2124939,91.29154205,0.883912563,14213,0.653320134,0
11584,431.3580017,170.829422,87.8700943,0.857566357,11897,0.613559306,1
14413,502.0499878,211.9916382,88.64776611,0.908370495,14826,0.57608217,0
11965,455.8179932,196.1618652,78.42881012,0.916595042,12247,0.659446657,0
12164,435.0859985,177.5858002,88.19933319,0.867946565,12354,0.710223615,1
13264,447.947998,175.3849792,98.29758453,0.828176439,13502,0.660952747,1
10736,416.7999878,176.1352539,78.64362335,0.894785821,10930,0.798096955,1
12672,445.5429993,180.4552765,90.30992889,0.865761995,12900,0.625685096,1
12213,450.2189941,188.3167877,83.71768951,0.895750165,12447,0.717989445,1
11546,429.6809998,179.2159576,82.65701294,0.88728863,11698,0.599574208,1
15172,504.1579895,213.2246704,91.66706085,0.902872503,15477,0.622441053,0
15071,494.1350098,200.5948334,97.39328766,0.874224246,15575,0.689212084,0
12495,454.7929993,186.7766266,86.49271393,0.886315942,12774,0.750315249,1
8848,369.7780151,150.2787628,76.50944519,0.860697448,9009,0.635814905,1
13662,466.7479858,191.4051208,91.9151535,0.877152145,13875,0.587461293,0
15307,489.4710083,197.202652,100.132988,0.861494482,15628,0.679103792,0
