sex,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,class
2,0,51.1,16.3,220,6000,2
1,1,49.8,17.3,198,3675,1
1,0,46.8,14.3,215,4850,2
1,0,45.5,13.9,210,4200,2
2,2,38.6,21.2,191,3800,0
2,1,40.6,17.2,187,3475,0
1,1,40.2,17.1,193,3400,0
1,1,58.0,17.8,181,3700,1
1,1,37.3,17.8,191,3350,0
1,1,46.6,17.8,193,3800,1
1,2,35.9,16.6,190,3050,0
2,0,49.2,15.2,221,6300,2
1,0,48.5,15.0,219,4850,2
2,0,46.8,16.1,215,5500,2
1,0,43.3,13.4,209,4400,2
1,0,46.5,14.5,213,4400,2
2,0,48.2,15.6,221,5100,2
2,2,42.5,20.7,197,4500,0
2,2,39.1,18.7,181,3750,0
2,0,46.7,15.3,219,5200,2
1,0,44.9,13.8,212,4750,2
1,1,36.4,17.0,195,3325,0
2,1,50.3,20.0,197,3300,1
1,1,45.5,17.0,196,3500,1
1,0,48.2,14.3,210,4600,2
2,1,50.8,18.5,201,4450,1
1,2,38.9,17.8,181,3625,0
1,2,41.1,17.6,182,3200,0
1,1,35.7,18.0,202,3550,0
1,1,42.5,16.7,187,3350,1
2,1,37.5,18.5,199,4475,0
1,0,45.7,13.9,214,4400,2
1,2,36.7,18.8,187,3800,0
2,1,51.0,18.8,203,4100,1
2,2,39.3,20.6,190,3650,0
2,2,35.1,19.4,193,4200,0
2,1,52.2,18.8,197,3450,1
2,1,42.3,21.2,191,4150,0
1,1,37.6,19.3,181,3300,0
2,0,49.6,16.0,225,5700,2
2,0,55.9,17.0,228,5600,2
1,1,39.5,17.8,188,3300,0
1,2,40.9,16.8,191,3700,0
2,0,48.1,15.1,209,5500,2
1,0,43.3,14.0,208,4575,2
2,1,39.8,19.1,184,4650,0
2,0,37.6,19.1,194,3750,0
1,0,45.3,13.7,210,4300,2
2,1,49.0,19.5,210,3950,1
1,0,37.6,17.0,185,3600,0
2,0,50.0,15.2,218,5700,2
1,0,43.4,14.4,218,4600,2
2,0,49.5,16.2,229,5800,2
1,0,42.7,13.7,208,3950,2
2,0,48.5,14.1,220,5300,2
2,0,37.8,20.0,190,4250,0
2,1,50.6,19.4,193,3800,1
1,1,50.5,18.4,200,3400,1
1,0,45.5,14.5,212,4750,2
1,0,35.0,17.9,192,3725,0
1,0,42.8,14.2,209,4700,2
2,2,41.4,18.5,202,3875,0
1,1,46.0,18.9,195,4150,1
1,0,37.8,18.3,174,3400,0
2,0,59.6,17.0,230,6050,2
2,1,51.3,19.2,193,3650,1
2,0,49.9,16.1,213,5400,2
2,2,42.1,19.1,195,4000,0
2,0,44.4,17.3,219,5250,2
2,1,50.5,19.6,201,4050,1
1,1,36.5,18.0,182,3150,0
2,0,38.2,18.1,185,3950,0
1,1,45.7,17.3,193,3600,1
2,2,44.1,18.0,210,4000,0
2,0,46.1,15.1,215,5100,2
2,0,48.4,16.3,220,5400,2
1,1,38.9,18.8,190,3600,0
1,0,43.6,13.9,217,4900,2
2,2,40.6,19.0,199,4000,0
1,0,45.2,14.8,212,5200,2
1,0,41.7,14.7,210,4700,2
2,1,52.0,19.0,197,4150,1
2,0,41.4,18.6,191,3700,0
1,2,36.2,17.2,187,3150,0
2,0,54.3,15.7,231,5650,2
2,1,50.0,19.5,196,3900,1
2,2,39.2,19.6,195,4675,0
2,0,50.2,14.3,218,5700,2
2,1,41.1,17.5,190,3900,0
1,0,44.5,14.7,214,4850,2
1,2,39.0,17.1,191,3050,0
1,1,34.0,17.1,185,3400,0
1,0,43.5,15.2,213,4650,2
1,2,38.6,17.0,188,2900,0
2,0,45.5,15.0,220,5000,2
2,1,51.7,20.3,194,3775,1
1,0,38.6,17.2,199,3750,0
2,1,40.2,20.1,200,3975,0
1,0,46.6,14.2,210,4850,2
1,0,35.9,19.2,189,3800,0
1,1,38.1,17.6,187,3425,0
2,0,48.6,16.0,230,5800,2
1,1,40.9,16.6,187,3200,1
2,0,40.1,18.9,188,4300,0
2,2,37.7,19.8,198,3500,0
1,2,39.6,17.2,196,3550,0
1,2,38.7,19.0,195,3450,0
2,2,39.7,18.4,190,3900,0
2,0,52.1,17.0,230,5550,2
1,1,46.7,17.9,195,3300,1
2,1,40.8,18.9,208,4300,0
2,1,49.7,18.6,195,3600,1
2,1,49.0,19.6,212,4300,1
2,0,46.2,14.9,221,5300,2
2,1,51.5,18.7,187,3250,1
1,1,50.2,18.7,198,3775,1
2,0,51.5,16.3,230,5500,2
2,1,39.2,21.1,196,4150,0
1,0,45.1,14.4,210,4400,2
2,1,52.0,18.1,201,4050,1
1,0,45.2,13.8,215,4750,2
1,0,47.4,14.6,212,4725,2
2,1,40.8,18.4,195,3900,0
1,0,37.9,18.6,172,3150,0
2,0,40.6,18.8,193,3800,0
1,0,39.6,17.7,186,3500,0
2,0,55.1,16.0,230,5850,2
2,1,40.9,18.9,184,3900,0
1,2,35.2,15.9,186,3050,0
1,0,47.5,15.0,218,4950,2
2,1,52.0,20.7,210,4800,1
2,0,49.0,16.1,216,5550,2
2,1,50.2,18.8,202,3800,1
1,1,36.0,17.9,190,3450,0
2,1,49.3,19.9,203,4050,1
2,0,50.5,15.9,225,5400,2
1,1,36.9,18.6,189,3500,0
1,0,49.1,14.8,220,5150,2
2,0,45.6,20.3,191,4600,0
1,0,45.4,14.6,211,4800,2
2,1,40.7,17.0,190,3725,0
2,0,41.0,20.0,203,4725,0
2,0,50.8,15.7,226,5200,2
1,0,45.8,14.6,210,4200,2
1,1,45.2,17.8,198,3950,1
2,0,50.0,15.9,224,5350,2
1,1,46.4,18.6,190,3450,1
2,1,38.3,19.2,189,3950,0
1,1,39.5,16.7,178,3250,0
2,0,49.6,15.0,216,4750,2
2,0,50.0,15.3,220,5550,2
2,2,41.1,18.6,189,3325,0
1,2,36.2,16.1,187,3550,0
1,2,34.4,18.4,184,3325,0
2,1,49.2,18.2,195,4400,1
2,1,53.5,19.9,205,4500,1
2,1,55.8,19.8,207,4000,1
1,1,42.5,17.3,187,3350,1
2,1,36.3,19.5,190,3800,0
2,0,42.0,19.5,200,4050,0
2,0,41.3,21.1,195,4400,0
1,2,36.6,17.8,185,3700,0
1,0,37.9,18.6,193,2925,0
1,1,43.5,18.1,202,3400,1
2,1,41.1,18.1,205,4300,0
1,1,36.6,18.4,184,3475,0
1,0,46.2,14.1,217,4375,2
1,0,46.5,14.8,217,5200,2
2,0,40.5,18.9,180,3950,0
1,0,45.8,14.2,219,4700,2
2,1,43.2,18.5,192,4100,0
2,0,47.3,15.3,222,5250,2
1,2,35.5,17.5,190,3700,0
2,2,37.3,20.5,199,3775,0
1,1,46.5,17.9,192,3500,1
2,0,49.4,15.8,216,4925,2
1,0,43.2,14.5,208,4450,2
1,0,45.3,13.8,208,4200,2
2,1,51.3,18.2,197,3750,1
2,0,46.8,15.4,215,5150,2
2,1,52.7,19.8,197,3725,1
2,0,50.8,17.3,228,5600,2
1,1,36.0,17.1,187,3700,0
2,0,49.8,16.8,230,5700,2
2,1,37.2,18.1,178,3900,0
1,1,50.1,17.9,190,3400,1
2,0,53.4,15.8,219,5500,2
2,0,47.8,15.0,215,5650,2
2,1,50.7,19.7,203,4050,1
2,0,45.2,15.8,215,5300,2
1,1,37.0,16.9,185,3000,0
2,2,42.8,18.5,195,4250,0
2,1,38.8,20.0,190,3950,0
2,1,39.0,18.7,185,3650,0
2,1,50.8,19.0,210,4100,1
1,1,36.0,17.8,195,3450,0
2,0,49.1,15.0,228,5500,2
1,0,46.5,13.5,210,4550,2
2,0,45.2,16.4,223,5950,2
1,1,42.4,17.3,181,3600,1
1,0,42.9,13.1,215,5000,2
2,0,47.6,14.5,215,5400,2
1,2,36.7,19.3,193,3450,0
1,0,45.1,14.5,215,5000,2
1,0,44.9,13.3,213,5100,2
1,2,35.7,17.0,189,3350,0
2,2,45.8,18.9,197,4150,0
1,1,37.3,16.8,192,3000,0
2,1,51.3,19.9,198,3700,1
1,2,38.5,17.9,190,3325,0
1,2,38.8,17.6,191,3275,0
1,1,46.8,16.5,189,3650,1
2,1,39.7,17.9,193,4250,0
1,0,45.5,13.7,214,4650,2
2,0,48.4,14.6,213,5850,2
1,0,35.5,16.2,195,3350,0
1,0,38.1,16.5,198,3825,0
2,0,48.8,16.2,222,6000,2
2,0,37.7,18.7,180,3600,0
2,0,38.8,17.2,180,3800,0
1,1,45.2,16.6,191,3250,1
2,1,39.6,18.8,190,4600,0
1,0,40.5,17.9,187,3200,0
1,0,49.1,14.5,212,4625,2
2,0,50.4,15.7,222,5750,2
1,1,45.6,19.4,194,3525,1
2,0,38.2,20.0,190,3900,0
2,1,44.1,19.7,196,4400,0
2,2,34.6,21.1,198,4400,0
1,0,37.7,16.0,183,3075,0
